spec,maxl,maxw,maxth,maxstl,maxstw,site
fs1363,117.24,34.4,15.5,24.74,28.55,Cooper
fs406,80.7,37.22,11.55,22.54,30.62,Cooper
fs1352,90.95,31.13,9.3,22.98,18.29,Cooper
ds-35,80.32,33.15,12.04,23.53,28.43,Pov Pt
fs1191,58.58,37.93,9.84,21.38,27.71,Cooper
fs1558,51.22,36.63,9.18,18.45,27.37,Cooper
fs1865,60.51,42.46,12.02,19.76,26.92,Cooper
fs1711,61.26,37.7,9.43,16.74,25.38,Cooper
fs143,59.18,35.57,10.23,16.67,26.78,Cooper
fs762,73.58,36.39,10.59,22.22,29.03,Cooper
fs1279,68.54,39.59,10.17,21.52,27.15,Cooper
fs190,60.69,32.08,8.29,17.63,24.03,Cooper
fs2240,55.12,28.98,9.84,20.62,23.76,Cooper
fs566,55.03,31.47,6.35,18.73,20.91,Cooper
fs1035,50.1,25.6,8.01,20.97,20.57,Cooper
fs662,57.07,31.16,7.21,14.9,18.75,Cooper
fs1420,49.16,27.8,7.12,18.09,21.64,Cooper
fs1806,64.93,31.52,10.06,15.94,17.94,Cooper
fs2205,66.48,35.08,10.86,16.46,21.99,Cooper
fs1190,64.41,31.18,11.83,19.59,24.9,Cooper
fs1537,69.44,32.76,11.77,20.15,26.78,Cooper
fs229,71.18,36.37,10.79,12.68,18.57,Cooper
fs800,78.7,38.94,13.91,12.47,25.1,Cooper
fs1873,70.86,28.96,11.56,17.8,23.12,Cooper
fs441,48.54,30.06,9.23,11.04,19.05,Means
fs205,47.28,27.62,7.56,13.14,17.17,Means
fs681,46.26,28.2,6.63,17.43,18.56,Means
fs526,64.09,29.03,10.4,13.63,17.61,Means
fs684,48.13,23.86,8.69,13.79,15.12,Means
fs480,53.21,22.38,8.39,15.37,16.14,Means
fs604,47.45,17.28,8.04,13.72,12.55,Means
fs688,50.96,22.41,8.87,12.41,17.05,Means
fs315,62.41,24.32,8.86,15.7,18.26,Means
fs419,48.66,21.47,6.74,6.81,12.42,Means
fs551,57.26,20.24,12.61,8.53,13.81,Means
fs515,45.88,20.7,9.18,15.15,17.15,Means
fs425,46.25,19.13,8.02,6.97,9.68,Means
fs204,50.54,19.13,7.45,10.26,13.07,Means
fs83,45.77,16.87,7.24,15.11,11.69,Means
fs604,42.48,20.8,6.47,6.46,13.66,Means
asc004,73.05,27.77,9.96,15.07,15.16,Pov Pt
asc604,71.8,32.08,13.86,15.85,19.33,Pov Pt
asc542,71.37,34.9,9.62,19.53,26.94,Pov Pt
asc595,70.76,23.79,10.71,15.57,17.29,Pov Pt
asc453,70.54,37.12,11.13,19.8,24.95,Pov Pt
asc594,70.08,29.39,15.29,15.73,18.72,Pov Pt
asc005,69.4,34.92,10.57,13.15,19.69,Pov Pt
asc139,66.1,24.38,12.94,21.68,18.42,Pov Pt
asc030,65.3,34.83,9.27,13.16,24.65,Pov Pt
asc002,65.22,35.22,7.88,17.62,20.09,Pov Pt
asc489,64.67,30.11,12.91,14.81,17.48,Pov Pt
asc600,63.94,31.45,10.91,16.84,18.47,Pov Pt
asc540,63.74,30.47,10.64,12.38,16.66,Pov Pt
asc031,63.06,33.94,13.94,16.3,20.22,Pov Pt
asc599,62.66,26.01,10.71,14.37,14.38,Pov Pt
asc549,62.23,25.49,10.14,21.33,21.06,Pov Pt
asc485,61.72,27.61,13.63,20.35,22.39,Pov Pt
asc009,61.57,31.64,9.92,15.77,22.33,Pov Pt
asc487,61.01,24.13,9.88,22.71,19.05,Pov Pt
asc001,61,29.95,10.09,17.63,18.48,Pov Pt
asc017,59.7,29.22,11.38,20.16,20.63,Pov Pt
.asc603,59.38,23.45,16.76,11.69,15.25,Pov Pt
asc544,59.36,35,11.99,15.14,21.71,Pov Pt
asc606,58.94,29.62,11.69,15.58,17.82,Pov Pt
asc601,58.92,25.35,10.55,12.34,15.53,Pov Pt
asc027,58.6,31.12,8.85,16.35,18.59,Pov Pt
asc605,57.25,28.65,12.96,16.06,16.8,Pov Pt
asc011,56.64,26.55,10.7,13.6,18.41,Pov Pt
asc424,55.73,27.36,8.04,17.54,14.52,Pov Pt
asc609,55.17,30.1,10.75,17.48,19.34,Pov Pt
asc486,55.08,25.69,10.22,22.14,22.49,Pov Pt
asc546,54.74,26.81,11.74,16.18,15.18,Pov Pt
asc607,54.7,30.36,11.92,16.04,25.03,Pov Pt
asc029,53.54,32.47,11.56,15.09,19.15,Pov Pt
asc545,53.47,22.3,10.77,17.12,18.09,Pov Pt
asc482,52.56,26.1,9.71,20.61,21.63,Pov Pt
asc483,52.46,26.8,10.95,18.67,21.69,Pov Pt
asc602,52.34,26.57,7.42,12.08,17.41,Pov Pt
asc014,52.31,22.08,9.59,17.39,15.32,Pov Pt
asc550,50.59,27.53,7.06,15.25,18.06,Pov Pt
asc598,50.5,28.38,7.75,24.62,25.44,Pov Pt
asc597,50.34,23.36,9.41,18.72,19.49,Pov Pt
asc484,49.21,25.39,7.74,12.92,20.21,Pov Pt
10436,48.08,27.34,7.52,19.97,22.6,Pov Pt
asc569,48.01,28.85,7.69,14.16,19.04,Pov Pt
asc547,47.95,32,13.73,17.04,22.7,Pov Pt
asc022,47.91,25.28,11.84,9.14,14.28,Pov Pt
asc488,47.64,31.13,10.14,13.8,16.68,Pov Pt
asc610,47.3,22.62,9.72,15.27,14.45,Pov Pt
asc480,46.57,27.54,10.41,23.81,24.09,Pov Pt
6956,46.08,23.99,10.95,11.52,13.67,Pov Pt
fs320,43.85,24.64,8.92,19.39,17.75,Cooper
fs1198,44.81,27.68,7.2,18.35,17.35,Cooper
fs1462,41.77,27.23,6.21,17.17,19.07,Cooper
fs606,37.06,24.2,6.81,9.87,16.99,Means
fs411,43.46,22.3,7.23,19.36,18.45,Means
fs425,35.98,18.87,5.9,9.42,11.85,Means
fs715,43.51,20.98,6.96,13.75,15.17,Means
fs120,39.22,18.81,6.97,16.98,15.23,Means
fs500,43.07,19.02,5.97,11.16,11.21,Means
fs204-1,44.57,19.57,7.91,11.34,11.3,Means
asc024,45.66,34.83,10.31,17.47,20.75,Pov Pt
asc020,45.06,27.64,7.98,12.01,15.27,Pov Pt
ds-50,44.66,32.51,9.46,16.67,22.54,Pov Pt
asc026,44.33,29.54,11.23,8.13,15.55,Pov Pt
asc596,44.29,23.21,11.66,16.59,19.17,Pov Pt
asc608,43.45,24.92,10.21,13.35,15.85,Pov Pt
asc503,43.1,14.29,7.28,14.77,11.99,Pov Pt
asc481,41.83,22.63,9.93,15.71,18.67,Pov Pt
9058,41.08,26.2,9.56,12.05,16.25,Pov Pt
asc505,40.46,25.29,7.9,12.37,15.31,Pov Pt
asc611,39.76,21.93,8.13,13.47,15.81,Pov Pt
asc504,38.2,21.34,6.2,11.05,14.87,Pov Pt
fs634,70.58,18.56,14.91,12.73,14.11,Means
fs612,53.72,23.14,7.98,7.22,15.45,Means
fs335,65.44,23.75,11.6,13.93,14.98,Means
